sub_region,census_fips_code,place_id,date,user_id,place,percent_change_from_baseline
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-05,020,workplaces,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-05,020,residential,-1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-06,021,retail and recreation,24
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-06,021,grocery and pharmacy,17
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-06,021,parks,30
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-06,021,transit stations,26
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-06,021,workplaces,0
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-06,021,residential,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-07,022,retail and recreation,11
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-07,022,grocery and pharmacy,13
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-07,022,parks,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-07,022,transit stations,17
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-07,022,workplaces,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-08,023,retail and recreation,34
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-08,023,grocery and pharmacy,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-08,023,parks,54
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-08,023,transit stations,33
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-08,023,workplaces,-3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-09,024,retail and recreation,24
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-09,024,grocery and pharmacy,23
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-09,024,parks,54
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-09,024,transit stations,23
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-09,024,workplaces,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-09,024,residential,-3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-10,025,retail and recreation,6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-10,025,grocery and pharmacy,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-10,025,parks,50
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-10,025,transit stations,24
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-10,025,workplaces,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-10,025,residential,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-11,026,retail and recreation,9
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-11,026,grocery and pharmacy,18
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-11,026,parks,39
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-11,026,transit stations,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-11,026,workplaces,-4
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-11,026,residential,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-12,027,retail and recreation,15
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-12,027,grocery and pharmacy,29
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-12,027,parks,49
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-12,027,transit stations,19
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-12,027,workplaces,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-12,027,residential,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-13,028,retail and recreation,11
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-13,028,grocery and pharmacy,29
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-13,028,parks,29
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-13,028,transit stations,19
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-13,028,workplaces,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-13,028,residential,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-14,029,retail and recreation,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-14,029,grocery and pharmacy,27
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-14,029,parks,44
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-14,029,transit stations,27
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-14,029,workplaces,-5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-15,030,retail and recreation,20
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-15,030,grocery and pharmacy,28
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-15,030,parks,75
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-15,030,transit stations,36
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-15,030,workplaces,-6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-16,031,retail and recreation,13
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-16,031,grocery and pharmacy,34
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-16,031,parks,63
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-16,031,transit stations,30
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-16,031,workplaces,-24
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-16,031,residential,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-17,032,retail and recreation,-10
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-17,032,grocery and pharmacy,32
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-17,032,transit stations,20
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-17,032,workplaces,-32
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-17,032,residential,6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-18,033,retail and recreation,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-18,033,grocery and pharmacy,31
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-18,033,parks,21
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-18,033,transit stations,17
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-18,033,workplaces,-34
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-18,033,residential,10
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-19,034,retail and recreation,-23
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-19,034,grocery and pharmacy,14
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-19,034,parks,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-19,034,transit stations,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-19,034,workplaces,-40
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-19,034,residential,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-20,035,retail and recreation,-21
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-20,035,grocery and pharmacy,12
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-20,035,parks,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-20,035,transit stations,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-20,035,workplaces,-39
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-20,035,residential,13
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-21,036,retail and recreation,-31
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-21,036,grocery and pharmacy,14
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-21,036,parks,9
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-21,036,transit stations,27
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-21,036,workplaces,-19
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-22,037,retail and recreation,-33
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-22,037,grocery and pharmacy,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-22,037,parks,6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-22,037,transit stations,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-22,037,workplaces,-21
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-23,038,retail and recreation,-32
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-23,038,grocery and pharmacy,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-23,038,parks,-22
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-23,038,transit stations,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-23,038,workplaces,-38
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-23,038,residential,15
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-24,039,retail and recreation,-45
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-24,039,grocery and pharmacy,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-24,039,parks,7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-24,039,transit stations,-5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-24,039,workplaces,-45
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-24,039,residential,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-25,040,retail and recreation,-37
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-25,040,grocery and pharmacy,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-25,040,parks,-31
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-25,040,transit stations,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-25,040,workplaces,-45
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-25,040,residential,17
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-26,041,retail and recreation,-45
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-26,041,grocery and pharmacy,-3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-26,041,parks,-34
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-26,041,transit stations,-15
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-26,041,workplaces,-46
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-26,041,residential,19
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-27,042,retail and recreation,-44
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-27,042,grocery and pharmacy,-3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-27,042,parks,-43
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-27,042,transit stations,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-27,042,workplaces,-44
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-27,042,residential,20
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-28,043,retail and recreation,-45
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-28,043,grocery and pharmacy,-1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-28,043,parks,-30
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-28,043,transit stations,0
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-28,043,workplaces,-22
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-29,044,retail and recreation,-38
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-29,044,grocery and pharmacy,-13
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-29,044,parks,-35
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-29,044,transit stations,-8
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-29,044,workplaces,-27
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-30,045,retail and recreation,-41
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-30,045,grocery and pharmacy,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-03-30,045,parks,-31
